major_name,industry_tag,core_skills
低空经济与管理,低空经济/通航产业,政策与产业研究、空域与运营管理、GIS、数据分析、项目管理
资源环境审计,绿色金融/ESG,ESG与碳核算、审计方法、Python/Excel建模、数据治理、合规风控
数字金融,金融科技,Python/SQL、风控建模、支付清算基础、数据安全、AIGC/智能投顾基础
数字贸易,跨境电商/数字贸易,跨境平台运营、数据分析、合规(关务/税务/隐私)、产品与增长
森林消防,应急管理/林业,应急指挥、遥感/无人机、火情监测、GIS、风险评估
政治安全保卫,公共安全,安防体系、情报分析、数据治理、法律合规、应急处置
太极拳,体育健康,运动训练、康养评估、课程设计、运动数据采集与分析
语言科学,语言与认知/交叉学科,实验设计、语料库、统计分析、Python、心理语言学方法
法律英语,涉外法务,法律检索、合同与条款分析、法律写作、合规、翻译技术工具
计算语言学,AI/NLP,Python、NLP(分词/解析)、语料库、机器学习、评测与数据标注
语言智能,AI/NLP,大模型应用、提示工程、语音与文本处理、数据治理、产品落地
智能计算,AI算力/算法,Python/C++、并行计算、GPU编程基础、算法工程化、MLOps
心理、脑与认知科学,脑科学/认知智能,实验范式、统计建模、脑成像数据基础、Python、科研复现
真空工程与技术,高端装备/半导体,真空系统设计、材料与工艺、设备维护、可靠性、计量测试
能源科学与工程,新能源/储能,能量系统建模、仿真(如MATLAB/Simulink)、电化学基础、系统集成
半导体工艺与装备,半导体制造,工艺流程、设备原理、洁净室规范、数据采集SPC、良率分析
城市更新,城市更新/存量改造,城市更新规划、BIM/GIS、项目投融资、低碳与韧性、协同管理
稀土科学与工程,新材料/稀土,材料制备表征、工艺优化、实验与数据分析、安全与环保
纤维科学与智能制造,先进制造/纺织新材料,材料与工艺、数字化制造、质量管理、工业数据采集
交通能源融合工程,交通+能源融合,系统工程、仿真建模、充换电与储能、数据分析、标准与安全
海洋智能与无人技术,海洋工程/无人系统,嵌入式与传感、机器人控制、海洋测绘、通信导航、仿真
农业机器人,智慧农业,机器人控制、计算机视觉、传感与导航、ROS基础、田间场景数据采集
智慧景观营造,城市更新/生态,参数化设计、GIS、生态修复、数字化施工管理、可视化表达
生物制造,生物经济/合成生物,细胞工厂与发酵、实验设计、数据分析、GMP基础、质量合规
低空安全管理,低空经济/安全,空域安全、风险评估、应急预案、无人机监管、数据监测
盐碱地科学与工程,现代农业/国土整治,土壤改良、遥感与GIS、田间试验、数据统计、工程治理
智慧渔业,海洋渔业/智慧农业,物联网采集、养殖模型、数据分析、环境监测、设备运维
核医学工程,高端医疗装备,医学影像设备原理、放射防护、质量控制、数据处理、法规合规
商业人工智能,AI产业应用,数据分析、机器学习、AIGC应用、业务流程建模、产品与落地
数字公共治理,数字政府/社会治理,数据治理、隐私与合规、政务流程再造、GIS/可视化、评估方法
数据资源与数据智能,数据要素/数据产业,数据资产化、数据治理、SQL/Python、数据安全合规、数据产品
数字文旅,文旅产业/内容科技,内容运营、数据分析、AIGC内容生产、文旅产品设计、增长
乐器智造,智能制造/文创,机械与电子基础、CAD/CAE、嵌入式与传感、工艺与质量
艺术治疗,大健康/康复,评估量表、干预方案设计、跨学科协作、伦理与合规、数据记录
具身智能,机器人/具身智能,机器人控制、计算机视觉、强化学习基础、ROS/MLOps、仿真与部署
脑机科学与技术,脑机接口/医疗器械,信号处理、机器学习、硬件采集、实验设计、合规与伦理
工程互联网,工业互联网,边缘计算、工业协议、数据采集与治理、网络安全、平台开发
深地科学与工程,深地资源/地质工程,地球物理与探测、数值模拟、工程安全评估、遥感GIS
